runnumber,fraction_fit,localepochs,localbatchsize,clients,rounds,r2,traintime,distribution
365,0.5,15,32,5,5,0.9154744829256108,22.96981191635132,1
366,1.0,15,32,5,5,0.9664454020004751,38.90565872192383,1
367,0.2,15,32,5,10,0.9686873042864076,43.878321170806885,0
368,0.5,15,32,5,10,0.9719081842093495,42.815266132354736,0
369,1.0,15,32,5,10,0.9751218899034524,49.46115303039551,0
370,0.2,15,32,5,10,0.9752297436589576,48.68403220176697,1
371,0.5,15,32,5,10,0.9764707470923366,59.359158992767334,1
372,1.0,15,32,5,10,0.9770672401839345,77.12210726737976,1
373,0.2,15,32,5,15,0.9770000228024214,56.15011286735535,0
374,0.5,15,32,5,15,0.9768581718142813,58.150240898132324,0
375,1.0,15,32,5,15,0.978228085317711,72.81232905387878,0
376,0.2,15,32,5,15,0.9779698074799381,78.99817299842834,1
377,0.5,15,32,5,15,0.9779698074799381,83.03214883804321,1
378,1.0,15,32,5,15,0.9801123805049782,113.82447791099548,1
379,0.2,15,32,5,20,0.9784240942696194,77.97810888290405,0
380,0.5,15,32,5,20,0.976723108878282,81.94062519073486,0
381,1.0,15,32,5,20,0.9788788960709258,95.35954809188843,0
382,0.2,15,32,5,20,0.979968491381386,117.98304605484009,1
383,0.5,15,32,5,20,0.9787976068966898,113.62787294387817,1
384,1.0,15,32,5,20,0.9805200961879232,148.34121680259705,1
385,0.2,15,32,25,5,0.9249393202832681,15.44749116897583,0
386,0.5,15,32,25,5,0.923202659644177,19.165329217910767,0
387,1.0,15,32,25,5,0.9250977093492876,27.40362787246704,0
388,0.2,15,32,25,5,0.9306991676640441,17.3034770488739,1
389,0.5,15,32,25,5,0.9279512640443907,20.01626706123352,1
390,1.0,15,32,25,5,0.9281719435409114,28.37077498435974,1
391,0.2,15,32,25,10,0.9324922606488113,22.26306939125061,0
392,0.5,15,32,25,10,0.9306732286933421,29.903031826019287,0
393,1.0,15,32,25,10,0.9322403188823276,48.079545974731445,0
394,0.2,15,32,25,10,0.9450921917863149,26.6392982006073,1
395,0.5,15,32,25,10,0.9528513046405531,33.349920988082886,1
396,1.0,15,32,25,10,0.9582518195435268,48.16675877571106,1
397,0.2,15,32,25,15,0.9554490365201884,28.35727596282959,0
398,0.5,15,32,25,15,0.9494907959359796,40.83219003677368,0
399,1.0,15,32,25,15,0.9478509970760164,68.79906892776489,0
400,0.2,15,32,25,15,0.9571416188841603,34.025879859924316,1
401,0.5,15,32,25,15,0.9663899104099539,44.0432608127594,1
402,1.0,15,32,25,15,0.969114467327927,68.86274194717407,1
403,0.2,15,32,25,20,0.965825409108207,34.579206228256226,0
404,0.5,15,32,25,20,0.9639493146517664,53.01793026924133,0
405,1.0,15,32,25,20,0.9637327315598491,88.62279796600342,0
406,0.2,15,32,25,20,0.9725110099956437,45.964293003082275,1
407,0.5,15,32,25,20,0.9716823620066318,55.65368604660034,1
408,1.0,15,32,25,20,0.9709528571914539,89.92430996894836,1
409,0.2,15,32,30,5,0.923504277188155,16.265316247940063,0
410,0.5,15,32,30,5,0.9232502918130436,21.2477707862854,0
411,1.0,15,32,30,5,0.9246829693210304,28.285670042037964,0
412,0.2,15,32,30,5,0.9278250235741894,18.033222913742065,1
413,0.5,15,32,30,5,0.927129312604262,21.002953052520752,1
414,1.0,15,32,30,5,0.928005364974987,30.19939613342285,1
415,0.2,15,32,30,10,0.9310610085126727,22.379575967788696,0
416,0.5,15,32,30,10,0.9305016004236483,33.83318614959717,0
